MD	TVD
4869	4795.028949
4869.5	4795.521353
4870	4796.013757
4870.5	4796.506161
4871	4796.998565
4871.5	4797.490969
4872	4797.983373
4872.5	4798.475777
4873	4798.96818
4873.5	4799.460584
4874	4799.952988
4874.5	4800.445392
4875	4800.937796
4875.5	4801.4302
4876	4801.922604
4876.5	4802.415008
4877	4802.907411
4877.5	4803.399815
4878	4803.892219
4878.5	4804.384623
4879	4804.877027
4879.5	4805.369431
4880	4805.861835
4880.5	4806.354239
4881	4806.846642
4881.5	4807.339046
4882	4807.83145
4882.5	4808.323854
4883	4808.816258
4883.5	4809.308662
4884	4809.801066
4884.5	4810.29347
4885	4810.785873
4885.5	4811.278277
4886	4811.770681
4886.5	4812.263085
4887	4812.755489
4887.5	4813.247893
4888	4813.740297
4888.5	4814.232701
4889	4814.725104
4889.5	4815.217508
4890	4815.709912
4890.5	4816.202316
4891	4816.69472
4891.5	4817.187124
4892	4817.679528
4892.5	4818.171932
4893	4818.664335
4893.5	4819.156739
4894	4819.649143
4894.5	4820.141547
4895	4820.633951
4895.5	4821.126355
4896	4821.618759
4896.5	4822.111163
4897	4822.603567
4897.5	4823.09597
4898	4823.588374
4898.5	4824.080778
4899	4824.573182
4899.5	4825.065586
4900	4825.55799
4900.5	4826.050394
4901	4826.542798
4901.5	4827.035201
4902	4827.527605
4902.5	4828.020009
4903	4828.512413
4903.5	4829.004817
4904	4829.497221
4904.5	4829.989625
4905	4830.482029
4905.5	4830.974432
4906	4831.466836
4906.5	4831.95924
4907	4832.451644
4907.5	4832.944048
4908	4833.436452
4908.5	4833.928856
4909	4834.42126
4909.5	4834.913663
4910	4835.406067
4910.5	4835.898471
4911	4836.390875
4911.5	4836.883279
4912	4837.375683
4912.5	4837.868087
4913	4838.360491
4913.5	4838.852894
4914	4839.345298
4914.5	4839.837702
4915	4840.330106
4915.5	4840.82251
4916	4841.314914
4916.5	4841.807318
4917	4842.299722
4917.5	4842.792125
4918	4843.284529
4918.5	4843.776933
4919	4844.269337
4919.5	4844.761741
4920	4845.254145
4920.5	4845.746549
4921	4846.238953
4921.5	4846.731356
4922	4847.22376
4922.5	4847.716164
4923	4848.208568
4923.5	4848.700972
4924	4849.193376
4924.5	4849.68578
4925	4850.178184
4925.5	4850.670587
4926	4851.162991
4926.5	4851.655395
4927	4852.147799
4927.5	4852.640203
4928	4853.132607
4928.5	4853.625011
4929	4854.117415
4929.5	4854.609818
4930	4855.102222
4930.5	4855.594626
4931	4856.08703
4931.5	4856.579434
4932	4857.071838
4932.5	4857.564242
4933	4858.056646
4933.5	4858.549049
4934	4859.041453
4934.5	4859.533857
4935	4860.026261
4935.5	4860.518665
4936	4861.011069
4936.5	4861.503473
4937	4861.995877
4937.5	4862.48828
4938	4862.980684
4938.5	4863.473088
4939	4863.965492
4939.5	4864.457896
4940	4864.9503
4940.5	4865.442704
4941	4865.935108
4941.5	4866.427512
4942	4866.919915
4942.5	4867.412319
4943	4867.904723
4943.5	4868.397127
4944	4868.889531
4944.5	4869.381935
4945	4869.874339
4945.5	4870.366743
4946	4870.859146
4946.5	4871.35155
4947	4871.843954
4947.5	4872.336358
4948	4872.828762
4948.5	4873.321166
4949	4873.81357
4949.5	4874.305974
4950	4874.798377
4950.5	4875.290781
4951	4875.783185
4951.5	4876.275589
4952	4876.767993
4952.5	4877.260397
4953	4877.752801
4953.5	4878.245205
4954	4878.737608
4954.5	4879.230012
4955	4879.722416
4955.5	4880.21482
4956	4880.707224
4956.5	4881.199628
4957	4881.692032
4957.5	4882.184436
4958	4882.676839
4958.5	4883.169243
4959	4883.661647
4959.5	4884.154051
4960	4884.646455
4960.5	4885.138859
4961	4885.631263
4961.5	4886.123667
4962	4886.61607
4962.5	4887.108474
4963	4887.600878
4963.5	4888.093282
4964	4888.585686
4964.5	4889.07809
4965	4889.570494
4965.5	4890.062898
4966	4890.555301
4966.5	4891.047705
4967	4891.540109
4967.5	4892.032513
4968	4892.524917
4968.5	4893.017321
4969	4893.509725
4969.5	4894.002129
4970	4894.494532
4970.5	4894.986936
4971	4895.47934
4971.5	4895.971744
4972	4896.464148
4972.5	4896.956552
4973	4897.448956
4973.5	4897.94136
4974	4898.433763
4974.5	4898.926167
4975	4899.418571
4975.5	4899.910975
4976	4900.403379
4976.5	4900.895783
4977	4901.388187
4977.5	4901.880591
4978	4902.372994
4978.5	4902.865398
4979	4903.357802
4979.5	4903.850206
4980	4904.34261
4980.5	4904.835014
4981	4905.327418
4981.5	4905.819822
4982	4906.312226
4982.5	4906.804629
4983	4907.297033
4983.5	4907.789437
4984	4908.281841
4984.5	4908.774245
4985	4909.266649
4985.5	4909.759053
4986	4910.251457
4986.5	4910.74386
4987	4911.236264
4987.5	4911.728668
4988	4912.221072
4988.5	4912.713476
4989	4913.20588
4989.5	4913.698284
4990	4914.190688
4990.5	4914.683091
4991	4915.175495
4991.5	4915.667899
4992	4916.160303
4992.5	4916.652707
4993	4917.145111
4993.5	4917.637515
4994	4918.129919
4994.5	4918.622322
4995	4919.114726
4995.5	4919.60713
4996	4920.099534
4996.5	4920.591938
4997	4921.084342
4997.5	4921.576746
4998	4922.06915
4998.5	4922.561553
4999	4923.053957
4999.5	4923.546361
5000	4924.038765
5000.5	4924.531169
5001	4925.023573
5001.5	4925.515977
5002	4926.008381
5002.5	4926.500784
5003	4926.993188
5003.5	4927.485592
5004	4927.977996
5004.5	4928.4704
5005	4928.962804
5005.5	4929.455208
5006	4929.947612
5006.5	4930.440015
5007	4930.932419
5007.5	4931.424823
5008	4931.917227
5008.5	4932.409631
5009	4932.902035
5009.5	4933.394439
5010	4933.886843
5010.5	4934.379246
5011	4934.87165
5011.5	4935.364054
5012	4935.856458
